ward_id,Total Pop (Race),White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or other Pacific Islander,Other Race,Two or More Races,Hispanic or Latino (Total),Not Hispanic or Latino,Hispanic or Latino,Total Pop (Rent),Voting-Age Pop (Total),18 to 29,30 to 44,45 to 64,65+,Total Rent Burden,Proportion Rent Burdened,Proportion White,Proportion Non-White,Proportion Voting Pop 18-29,Proportion Voting Pop 30-44,Proportion Voting Pop 45-64,Proportion Voting Pop 65+,votes_total,votes_johnson,votes_vallas,proportion_johnson,proportion_vallas,winner
34,55249.0,2051.0,50737.0,76.0,28.0,0.0,744.0,1613.0,55249.0,53022.0,2227.0,6849.0,41599.0,8725.0,9462.0,14261.0,9151.0,3313.0,0.48372025113155204,0.03712284385237742,0.9628771561476226,0.20974061876487415,0.22745739080266353,0.3428207408831943,0.219981249549268,10604.0,4415.0,6189.0,0.41635231987929083,0.5836476801207091,Vallas
35,49282.0,25400.0,2498.0,565.0,3266.0,5.0,9647.0,7901.0,49282.0,20378.0,28904.0,10362.0,30722.0,8460.0,10362.0,7991.0,3909.0,4205.0,0.4058096892491797,0.5154011606671807,0.48459883933281933,0.2753726970900332,0.33728272898899814,0.2601067638825597,0.12723781003840895,13150.0,8947.0,4203.0,0.6803802281368821,0.31961977186311785,Johnson
36,54731.0,26971.0,2276.0,574.0,2659.0,23.0,15698.0,6530.0,54731.0,16951.0,37780.0,6241.0,29444.0,6488.0,7781.0,9672.0,5503.0,3617.0,0.5795545585643327,0.49279201914819754,0.5072079808518024,0.22035049585654123,0.264264366254585,0.328487977177014,0.1868971607118598,10588.0,5353.0,5235.0,0.5055723460521345,0.49442765394786553,Johnson
37,53141.0,6756.0,34826.0,259.0,213.0,0.0,7879.0,3208.0,53141.0,35896.0,17245.0,10162.0,35483.0,9035.0,8922.0,11064.0,6462.0,6098.0,0.6000787246604999,0.12713347509455974,0.8728665249054403,0.25462897725671446,0.25144435363413464,0.3118112899134797,0.18211537919567117,7404.0,5933.0,1471.0,0.8013236088600756,0.19867639113992436,Johnson
38,78815.0,58241.0,1562.0,254.0,4917.0,11.0,8952.0,4878.0,78815.0,56842.0,21973.0,7972.0,54257.0,8849.0,13737.0,19103.0,12568.0,3121.0,0.3914952333166081,0.738958320116729,0.261041679883271,0.16309416296514737,0.25318392096872294,0.35208360211585604,0.2316383139502737,14922.0,3326.0,11596.0,0.22289237367645087,0.7771076263235491,Vallas
39,61413.0,39375.0,1483.0,329.0,11072.0,0.0,4624.0,4530.0,61413.0,48482.0,12931.0,8597.0,41565.0,7560.0,10875.0,13308.0,9822.0,3243.0,0.37722461323717577,0.6411508963900151,0.3588491036099849,0.18188379646337063,0.2616383976903645,0.32017322266329845,0.23630458318296643,15925.0,5704.0,10221.0,0.3581789638932496,0.6418210361067503,Vallas
40,57921.0,34309.0,4781.0,520.0,8552.0,14.0,4258.0,5487.0,57921.0,44782.0,13139.0,13696.0,39138.0,7602.0,14279.0,11449.0,5808.0,5883.0,0.4295414719626168,0.5923412924500613,0.4076587075499387,0.1942357810823241,0.36483724257754613,0.29252899994889875,0.14839797639123103,15117.0,9201.0,5916.0,0.6086525104187339,0.39134748958126614,Johnson
41,104521.0,83857.0,2103.0,426.0,7960.0,1.0,4294.0,5880.0,104521.0,88276.0,16245.0,11989.0,71069.0,10046.0,18022.0,24507.0,18494.0,4692.0,0.39135874551672367,0.8022981027736054,0.19770189722639464,0.14135558400990586,0.25358454459750385,0.34483389382149743,0.2602259775710929,19532.0,2679.0,16853.0,0.13715953307392997,0.8628404669260701,Vallas
42,65469.0,42978.0,2708.0,106.0,15001.0,0.0,1325.0,3351.0,65469.0,60354.0,5115.0,25558.0,54089.0,19105.0,17786.0,10752.0,6446.0,8089.0,0.31649581344393146,0.6564633643403749,0.3435366356596251,0.3532141470539296,0.3288284124313631,0.19878348647599328,0.11917395403871398,13482.0,3472.0,10010.0,0.25752855659397716,0.7424714434060229,Vallas
43,61292.0,51385.0,2131.0,21.0,4519.0,2.0,1141.0,2093.0,61292.0,57950.0,3342.0,16903.0,50137.0,19619.0,12364.0,11145.0,7009.0,5633.0,0.3332544518724487,0.8383638974091235,0.16163610259087646,0.39130781658256375,0.24660430420647425,0.22229092287133254,0.1397969563396294,18088.0,5814.0,12274.0,0.32142857142857145,0.6785714285714286,Vallas
44,62820.0,51528.0,2529.0,35.0,4451.0,72.0,1157.0,3048.0,62820.0,57405.0,5415.0,22795.0,52383.0,21637.0,16348.0,9096.0,5302.0,8461.0,0.3711778898881334,0.8202483285577842,0.17975167144221582,0.41305385334936906,0.31208598209342725,0.1736441211843537,0.10121604337284996,18319.0,9390.0,8929.0,0.5125825645504667,0.48741743544953325,Johnson
45,57410.0,40035.0,1645.0,133.0,5734.0,57.0,4991.0,4815.0,57410.0,42304.0,15106.0,8015.0,40156.0,6401.0,12576.0,13768.0,7411.0,3120.0,0.38927011852776044,0.6973523776345585,0.3026476223654415,0.15940332702460405,0.3131786034465584,0.3428628349437195,0.18455523458511805,17829.0,5585.0,12244.0,0.3132536878119917,0.6867463121880083,Vallas
46,50365.0,31753.0,9042.0,245.0,5172.0,7.0,1446.0,2700.0,50365.0,43855.0,6510.0,17834.0,39248.0,11713.0,12175.0,9891.0,5469.0,7621.0,0.427329819446002,0.6304576590886528,0.3695423409113472,0.29843558907460255,0.31020688952303305,0.25201284141867103,0.13934467998369343,17980.0,10999.0,6981.0,0.6117352614015573,0.38826473859844274,Johnson
47,64405.0,50676.0,1914.0,123.0,4488.0,55.0,1872.0,5277.0,64405.0,56755.0,7650.0,16713.0,49698.0,10977.0,20488.0,13069.0,5164.0,5543.0,0.331657990785616,0.7868333203943794,0.21316667960562063,0.2208740794398165,0.41224998993923295,0.2629683287053805,0.10390760191557004,22241.0,13061.0,9180.0,0.5872487747853065,0.4127512252146936,Johnson
48,57755.0,34326.0,9017.0,80.0,7568.0,55.0,2048.0,4661.0,57755.0,48856.0,8899.0,20057.0,44787.0,11311.0,12001.0,12747.0,8728.0,9196.0,0.4584932941117814,0.5943381525409055,0.4056618474590945,0.2525509634492152,0.2679572197289392,0.28461383883716257,0.19487797798468307,18034.0,11403.0,6631.0,0.6323056448929799,0.3676943551070201,Johnson
49,57661.0,28643.0,16391.0,222.0,2874.0,7.0,5159.0,4365.0,57661.0,47232.0,10429.0,18192.0,40085.0,11473.0,10786.0,12309.0,5517.0,9262.0,0.5091248900615655,0.49674823537573054,0.5032517646242695,0.2862167893226893,0.26907820880628663,0.3070724709991269,0.13763253087189722,12303.0,9056.0,3247.0,0.7360806307404698,0.2639193692595302,Johnson
50,73106.0,38885.0,7790.0,438.0,15361.0,2.0,4760.0,5870.0,73106.0,57062.0,16044.0,11733.0,41759.0,7654.0,10309.0,14309.0,9487.0,5760.0,0.4909230375862951,0.5318988865482998,0.46810111345170025,0.18328982973730215,0.24686893843243374,0.3426566728130463,0.22718455901721785,10511.0,3593.0,6918.0,0.3418323660926648,0.6581676339073351,Vallas
